transaction_id,post_ts,customer_id,bin,terminal_id,amt,entry_mode,fraud,fraud_scenario
oFgyzumOQtSgGgTrFHuPJg,2023-07-11 05:33:33,C00002635,375562,T001072,126.58,Chip,0,0
mlsM06eWRLm2f-IAWWUnVQ,2023-04-23 10:12:13,C00005814,526819,T001037,8.33,Swipe,0,0
gXjaBE-5QhaM5k3bTHSfBQ,2023-07-27 14:23:52,C00002303,375618,T001005,33.06,Chip,0,0
HLPoZF7ESIm-RbatrKvDDQ,2023-04-16 08:08:28,C00005920,430504,T001041,56.43,Contactless,0,0
Faf_J0PfTi28utfxZKD-yw,2023-02-02 20:45:33,C00003453,512299,T001067,89.5,Chip,0,0
B9O3tDGiT2u5Z7_L7ysFoQ,2023-04-29 14:34:15,C00005025,464407,T001014,34.34,Chip,0,0
5PoR5k1WSca02LjBrdfG0g,2023-07-20 12:40:51,C00001145,425737,T001097,65.24,Contactless,0,0
PLaA9x0oTrar35LC8q_ZuA,2023-05-07 17:49:58,C00001386,415175,T001064,20.84,Contactless,0,0
VT_DU763SNmYazTWifauRw,2023-04-21 16:10:17,C00003408,454646,T001032,3.55,Contactless,0,0
6VESe1EMSU-NoPkABpLxrw,2023-03-03 18:37:40,C00004129,455657,T001019,66.03,Swipe,0,0
BVe3TlkJRH2AEQ1R1udUqw,2023-02-10 11:21:39,C00001956,510052,T001044,44.33,Swipe,0,0
t9gdnvqZQ8615EdxcMWvxw,2023-06-13 10:28:58,C00005887,375618,T001066,41.97,Contactless,0,0
GA_3hBbDSLGPlkmXp1gz-g,2023-06-07 01:12:40,C00001629,375618,T001075,96.93,Swipe,0,0
sFJYYvlTQNO9Bj0f4dFN1w,2023-05-28 20:35:53,C00002589,364113,T001093,19.12,Chip,1,2
DlPRJKPyQT2zTTa1efgMsw,2023-04-26 11:06:47,C00004641,510017,T001034,149.89,Swipe,0,0
xBYmafcOTda6-ZEgnFU7GA,2023-07-22 05:39:58,C00002942,524722,T001031,56.92,Swipe,0,0
_7IyqYstRNS9svOFj5jVaw,2023-05-03 12:59:27,C00002101,528069,T001066,67.44,Swipe,0,0
uZQW2SP2TheiRDzP-yrWtQ,2023-07-18 07:09:37,C00005383,520636,T001089,45.68,Chip,0,0
7FILr5hwRQKCnGRK7OcW6A,2023-03-18 12:55:34,C00004743,422241,T001009,11.96,Contactless,0,0
BQw2ZxVtR7qwTSaW-PUDFA,2023-03-16 18:46:22,C00001955,375618,T001044,96.56,Contactless,0,0
5a9pt3nPQwOcBPIgPFKlrw,2023-05-28 12:08:48,C00004309,375618,T001020,86.0,Contactless,0,0
FnUnjTygROyhgOFo5u_Xww,2023-04-17 21:26:29,C00002894,375686,T001008,94.48,Swipe,0,0
